year_manufactured,brand,model,km_tra,fuel,trans,rto,emi,sale_price
2020,Maruti,Swift,28692,Petrol,Manual,Bihar,9323.0,528000.0
2017,Ford,Ecosport,94594,Petrol,Auto,Telangana,9399.0,481000.0
2018,Tata,TIGOR,44327,Petrol,Manual,Uttar Pradesh,5910.0,335000.0
2018,Maruti,Swift,71192,Petrol,Auto,Maharashtra,8498.0,481000.0
2015,Honda,City,63934,Petrol,Auto,Maharashtra,14265.0,542000.0
2016,Maruti,Wagon R 1.0,40016,Petrol,Auto,Karnataka,7704.0,346000.0
2020,Hyundai,Elite i20,28357,Petrol,Manual,Haryana,9105.0,516000.0
2016,Hyundai,Elite i20,71856,Petrol,Manual,Maharashtra,9888.0,444000.0
2020,Ford,Ecosport,64042,Diesel,Manual,Uttar Pradesh,14796.0,562000.0
2022,Hyundai,GRAND I10 NIOS,34308,Petrol,Manual,Delhi,8542.0,484000.0
2020,Renault,Kwid,119976,Petrol,Auto,Karnataka,7914.0,356000.0
2016,Renault,Kwid,91411,Petrol,Manual,Kerala,4170.0,187000.0
2013,Maruti,Alto K10,41838,Petrol,Manual,Tamil Nadu,9594.0,204000.0
2019,Tata,NEXON,77136,CNG,Manual,Delhi,9071.0,464000.0
2021,Maruti,Swift,52833,Petrol,Manual,Maharashtra,9170.0,519000.0
2017,Maruti,Baleno,29055,Petrol,Auto,Maharashtra,10373.0,531000.0
2013,Maruti,Ritz,57961,Petrol,Manual,Maharashtra,10978.0,233000.0
2021,Hyundai,GRAND I10 NIOS,67634,CNG,Manual,Maharashtra,9162.0,519000.0
2022,Audi,Q7,32425,Petrol,Auto,Maharashtra,106159.0,6200000.0
2016,Maruti,Ertiga,68424,Petrol,Auto,Punjab,11093.0,499000.0
2019,Maruti,Celerio,80411,CNG,Manual,Gujarat,6376.0,326000.0
2016,Maruti,Wagon R 1.0,63564,Petrol,Manual,Karnataka,7201.0,324000.0
2018,Jeep,Compass,42428,Petrol,Auto,Gujarat,12708.0,720000.0
2024,Volkswagen,TAIGUN,30678,Petrol,Manual,Madhya Pradesh,18407.0,1075000.0
2018,Skoda,Octavia,51352,Petrol,Auto,West Bengal,17861.0,1043000.0
2017,Hyundai,Grand i10,57995,Petrol,Manual,Gujarat,6352.0,325000.0
2018,Maruti,IGNIS,104808,Petrol,Manual,West Bengal,6855.0,308000.0
2022,Volkswagen,TAIGUN,38709,Petrol,Auto,Maharashtra,17550.0,1025000.0
2021,Jeep,Compass,62540,Petrol,Auto,Gujarat,17199.0,1004000.0
2019,Renault,Duster,118148,Diesel,Manual,Maharashtra,11638.0,523000.0
2023,Tata,ALTROZ,30753,Petrol,Auto,Karnataka,12710.0,720000.0
2014,Hyundai,Eon,51648,Petrol,Manual,Karnataka,6981.0,210000.0
2023,KIA,SONET,18163,Diesel,Manual,Karnataka,17105.0,999000.0
2022,Hyundai,AURA,121511,CNG,Manual,Kerala,10344.0,465000.0
2023,Tata,PUNCH,40199,Petrol,Manual,Maharashtra,10365.0,587000.0
2013,Hyundai,Grand i10,75139,Petrol,Manual,Kerala,12945.0,275000.0
2021,Volkswagen,TAIGUN,69553,Petrol,Manual,Telangana,20889.0,1220000.0
2018,Maruti,Ciaz,75843,Petrol,Manual,Karnataka,10232.0,580000.0
2020,Ford,FREESTYLE,46696,Petrol,Manual,Gujarat,6976.0,395000.0
2020,Hyundai,Elite i20,118689,Petrol,Manual,Maharashtra,10097.0,454000.0
2023,Maruti,BREZZA,20940,Petrol,Manual,Andhra Pradesh,16951.0,990000.0
2020,Hyundai,Elite i20,50097,Petrol,Manual,Uttar Pradesh,8685.0,492000.0
2013,Renault,Duster,112488,Petrol,Manual,Karnataka,14467.0,307000.0
2022,Mercedes,Benz GLC CLASS,44177,Diesel,Auto,Maharashtra,70630.0,4125000.0
2013,Honda,Brio,87101,Petrol,Manual,Gujarat,10027.0,213000.0
2021,Nissan,Kicks,48055,Petrol,Auto,Uttar Pradesh,13946.0,790000.0
2020,Renault,TRIBER,61393,Petrol,Manual,Rajasthan,7177.0,407000.0
2021,Maruti,Ertiga,89102,Petrol,Manual,Haryana,12271.0,695000.0
